timestamp,code,side,price,qty,reason,pnl,holding_days,holding_bars,return_pct
2024-06-10,BTCIRT,buy,4387087907.7609,0.022782,signal,0.0,0,0.0,0.0
2024-07-24,BTCIRT,sell,4651991898.145,0.022782,signal,6035042.7089,44,44.0,6.04
2024-09-16,BTCIRT,buy,3999497187.4988,0.026118,signal,0.0,0,0.0,0.0
2024-09-25,BTCIRT,sell,3419506037.7114,0.026118,signal,-15148208.8501,9,9.0,-14.5
2024-10-02,BTCIRT,buy,3800763026.4253,0.023415,signal,0.0,0,0.0,0.0
2024-10-09,BTCIRT,sell,3713835399.804,0.023415,signal,-2035410.3773,7,7.0,-2.29
2024-11-11,BTCIRT,buy,3781081718.6207,0.022934,signal,0.0,0,0.0,0.0
2024-12-09,BTCIRT,sell,3680724477.5964,0.022934,signal,-2301592.9657,28,27.999999999999996,-2.65
2024-12-26,BTCIRT,buy,4269129820.0964,0.019578,signal,0.0,0,0.0,0.0
2025-01-06,BTCIRT,sell,3534710063.8397,0.019578,signal,-14378469.988,11,11.0,-17.2
2025-01-30,BTCIRT,buy,3367364529.4233,0.020461,signal,0.0,0,0.0,0.0
2025-03-04,BTCIRT,sell,3758460545.2036,0.020461,signal,8002215.5789,33,33.0,11.61
2025-03-20,BTCIRT,buy,4376561508.9303,0.017383,signal,0.0,0,0.0,0.0
2025-04-18,BTCIRT,sell,4543182538.8935,0.017383,signal,2896373.3639,29,29.0,3.81
2025-05-03,BTCIRT,buy,5043938611.4788,0.015505,signal,0.0,0,0.0,0.0
2025-06-07,BTCIRT,sell,4964850873.4323,0.015505,signal,-1226255.3784,35,35.0,-1.57
2025-08-07,BTCIRT,buy,4801153252.5023,0.015838,signal,0.0,0,0.0,0.0
2025-08-25,BTCIRT,sell,4728440960.034,0.015838,signal,-1151617.2881,18,18.0,-1.51
2025-09-06,BTCIRT,buy,5432465629.9879,0.013698,signal,0.0,0,0.0,0.0
2025-09-13,BTCIRT,sell,5629879011.5055,0.013698,end_of_backtest,2704168.5,7,7.0,3.63
